sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_8.in,8,1024,20,5,0.000760,0.000099,"[0.000669, 0.000746, 0.000744, 0.000928, 0.000715]"
bitonic_parallel,in_8.in,8,2048,20,5,0.000759,0.000070,"[0.000759, 0.000742, 0.00087, 0.000746, 0.000676]"
bitonic_parallel,in_8.in,8,4096,20,5,0.000835,0.000098,"[0.00085, 0.000901, 0.000694, 0.000787, 0.000943]"
bitonic_parallel,in_8.in,8,1024,40,5,0.001622,0.000092,"[0.001767, 0.001632, 0.001565, 0.001523, 0.001621]"
bitonic_parallel,in_8.in,8,2048,40,5,0.001591,0.000083,"[0.001555, 0.0017, 0.001479, 0.001631, 0.00159]"
bitonic_parallel,in_8.in,8,4096,40,5,0.002415,0.001222,"[0.001549, 0.001512, 0.003908, 0.001519, 0.003588]"
bitonic_parallel,in_16.in,16,1024,1,5,0.000016,0.000008,"[1e-05, 1e-05, 2.4e-05, 1e-05, 2.4e-05]"
bitonic_parallel,in_16.in,16,2048,1,5,0.000021,0.000009,"[3.1e-05, 2.4e-05, 1.1e-05, 1.2e-05, 2.8e-05]"
bitonic_parallel,in_16.in,16,4096,1,5,0.000016,0.000007,"[1e-05, 1.1e-05, 1e-05, 2.4e-05, 2.4e-05]"
bitonic_parallel,in_16.in,16,1024,2,5,0.000164,0.000016,"[0.00014, 0.000164, 0.000172, 0.000183, 0.000161]"
bitonic_parallel,in_16.in,16,2048,2,5,0.000132,0.000046,"[0.000169, 0.00016, 8e-05, 0.000166, 8.3e-05]"
bitonic_parallel,in_16.in,16,4096,2,5,0.000111,0.000040,"[0.000141, 7.8e-05, 8.1e-05, 9e-05, 0.000167]"
bitonic_parallel,in_16.in,16,1024,5,5,0.000232,0.000071,"[0.000217, 0.000184, 0.000357, 0.000198, 0.000205]"
bitonic_parallel,in_16.in,16,2048,5,5,0.000286,0.000063,"[0.000301, 0.000308, 0.000183, 0.000282, 0.000355]"
bitonic_parallel,in_16.in,16,4096,5,5,0.000239,0.000068,"[0.000347, 0.000173, 0.000192, 0.000253, 0.000231]"
bitonic_parallel,in_16.in,16,1024,10,5,0.000441,0.000074,"[0.000365, 0.000563, 0.00043, 0.00041, 0.000436]"
bitonic_parallel,in_16.in,16,2048,10,5,0.000444,0.000087,"[0.000362, 0.00054, 0.000401, 0.000536, 0.000381]"
bitonic_parallel,in_16.in,16,4096,10,5,0.000448,0.000084,"[0.000366, 0.000571, 0.000475, 0.000373, 0.000456]"
bitonic_parallel,in_16.in,16,1024,20,5,0.000795,0.000045,"[0.000815, 0.000822, 0.000716, 0.000814, 0.000809]"
bitonic_parallel,in_16.in,16,2048,20,5,0.000760,0.000085,"[0.000671, 0.000742, 0.000718, 0.000898, 0.000771]"
bitonic_parallel,in_16.in,16,4096,20,5,0.000820,0.000063,"[0.000748, 0.000797, 0.000891, 0.000881, 0.000785]"
bitonic_parallel,in_16.in,16,1024,40,5,0.001579,0.000015,"[0.001577, 0.001591, 0.001556, 0.001575, 0.001594]"
bitonic_parallel,in_16.in,16,2048,40,5,0.002685,0.001408,"[0.001592, 0.004213, 0.001665, 0.001715, 0.004241]"
bitonic_parallel,in_16.in,16,4096,40,5,0.001583,0.000042,"[0.001596, 0.00154, 0.001575, 0.001556, 0.001647]"
